,,Sala,-additional
Player,Tm,2022-23,-9999
Stephen Curry,GSW,$48070014,curryst01
Russell Westbrook,LAL,$47063478,westbru01
LeBron James,LAL,$44474988,jamesle01
Kevin Durant,BRK,$44119845,duranke01
Bradley Beal,WAS,$43279250,bealbr01
Damian Lillard,POR,$42492492,lillada01
Giannis Antetokounmpo,MIL,$42492492,antetgi01
Kawhi Leonard,LAC,$42492492,leonaka01
Paul George,LAC,$42492492,georgpa01
John Wall,HOU,$47345760,walljo01
Klay Thompson,GSW,$40600080,thompkl01
Rudy Gobert,MIN,$38172414,goberru01
Anthony Davis,LAL,$37980720,davisan02
Khris Middleton,MIL,$37948276,middlkh01
Jimmy Butler,MIA,$37653300,butleji01
Tobias Harris,PHI,$37633050,harrito02
Luka Dončić,DAL,$37096500,doncilu01
Trae Young,ATL,$37096500,youngtr01
Zach LaVine,CHI,$37096500,lavinza01
Kyrie Irving,BRK,$36934550,irvinky01
Ben Simmons,BRK,$35448672,simmobe01
Pascal Siakam,TOR,$35448672,siakapa01
Devin Booker,PHO,$33833400,bookede01
Karl-Anthony Towns,MIN,$33833400,townska01
Kristaps Porziņģis,WAS,$33833400,porzikr01
Jrue Holiday,MIL,$33665040,holidjr01
Joel Embiid,PHI,$33616770,embiijo01
Andrew Wiggins,GSW,$33616770,wiggian01
CJ McCollum,NOP,$33333333,mccolcj01
Nikola Jokić,DEN,$33047803,jokicni01
James Harden,PHI,$33000000,hardeja01
Brandon Ingram,NOP,$31650600,ingrabr01
Jamal Murray,DEN,$31650600,murraja01
D'Angelo Russell,MIN,$31377750,russeda01
Shai Gilgeous-Alexander,OKC,$30913750,gilgesh01
Michael Porter Jr.,DEN,$30913750,portemi01
Deandre Ayton,PHO,$30913750,aytonde01
De'Aaron Fox,SAC,$30351780,foxde01
Bam Adebayo,MIA,$30351780,adebaba01
Donovan Mitchell,CLE,$30351780,mitchdo01
Jayson Tatum,BOS,$30351780,tatumja01
Gordon Hayward,CHO,$30075000,haywago01
Jaren Jackson Jr.,MEM,$28946605,jacksja02
Kevin Love,CLE,$28942830,loveke01
Jaylen Brown,BOS,$28741071,brownja02
Chris Paul,PHO,$28400000,paulch01
Kyle Lowry,MIA,$28333334,lowryky01
Jalen Brunson,NYK,$27733332,brunsja01
Kemba Walker,OKC,$9165471,walkeke02
DeMar DeRozan,CHI,$27300000,derozde01
Al Horford,BOS,$26500000,horfoal01
Draymond Green,GSW,$25806468,greendr01
Julius Randle,NYK,$23760000,randlju01
John Collins,ATL,$23500000,collijo01
Mike Conley,UTA,$22680000,conlemi01
Malcolm Brogdon,BOS,$22600000,brogdma01
Anfernee Simons,POR,$22321429,simonan01
Nikola Vučević,CHI,$22000000,vucevni01
Terry Rozier,CHO,$21486316,roziete01
Fred VanVleet,TOR,$21250000,vanvlfr01
Buddy Hield,IND,$21177750,hieldbu01
Jerami Grant,POR,$20955000,grantje01
Spencer Dinwiddie,DAL,$20171427,dinwisp01
Mikal Bridges,PHO,$20100000,bridgmi01
Jarrett Allen,CLE,$20000000,allenja01
Aaron Gordon,DEN,$19690909,gordoaa01
Tim Hardaway Jr.,DAL,$19602273,hardati02
Eric Gordon,HOU,$19568360,gordoer01
Bojan Bogdanović,DET,$19550000,bogdabo02
Lonzo Ball,CHI,$19534884,balllo01
Caris LeVert,CLE,$18796296,leverca01
Clint Capela,ATL,$18706896,capelca01
Joe Harris,BRK,$18642857,harrijo01
Domantas Sabonis,SAC,$18500000,sabondo01
Harrison Barnes,SAC,$18352273,barneha02
Evan Fournier,NYK,$18000000,fournev01
Myles Turner,IND,$18000000,turnemy01
Bogdan Bogdanović,ATL,$18000000,bogdabo01
Steven Adams,MEM,$17926829,adamsst01
Gary Trent Jr.,TOR,$17505000,trentga02
Jonathan Isaac,ORL,$17400000,isaacjo01
OG Anunoby,TOR,$17357143,anunoog01
Marcus Smart,BOS,$17207142,smartma01
Mitchell Robinson,NYK,$17045454,robinmi01
Duncan Robinson,MIA,$16902000,robindu01
Derrick White,BOS,$16892857,whitede01
Norman Powell,LAC,$16758621,powelno01
Dejounte Murray,ATL,$16571120,murrade01
Collin Sexton,UTA,$16500000,sextoco01
Markelle Fultz,ORL,$16500000,fultzma01
Lauri Markkanen,UTA,$16475454,markkla01
Marcus Morris,LAC,$16372093,morrima03
Dāvis Bertāns,DAL,$16000000,bertada01
Jusuf Nurkić,POR,$15625000,nurkiju01
Malik Beasley,UTA,$15558035,beaslma01
Luguentz Dort,OKC,$15277778,dortlu01
Tyus Jones,MEM,$15000000,jonesty01
Jonas Valančiūnas,NOP,$14700000,valanjo01
Derrick Rose,NYK,$14520730,rosede01
Kevin Huerter,SAC,$14508929,huertke01
Luke Kennard,LAC,$14415545,kennalu01
Will Barton,WAS,$14375000,bartowi01
Christian Wood,DAL,$14317459,woodch01
Wendell Carter Jr.,ORL,$14150000,cartewe01
Kentavious Caldwell-Pope,DEN,$14004703,caldwke01
Brook Lopez,MIL,$13906976,lopezbr01
Doug McDermott,SAS,$13750000,mcderdo01
Zion Williamson,NOP,$13534817,willizi01
Jordan Clarkson,UTA,$13340000,clarkjo01
Kyle Kuzma,WAS,$13000000,kuzmaky01
Gary Harris,ORL,$13000000,harriga01
Patrick Beverley,LAL,$13000000,beverpa01
Josh Hart,POR,$12960000,hartjo01
Kelly Olynyk,UTA,$12804878,olynyke01
Chris Boucher,TOR,$12690000,bouchch01
Kelly Oubre Jr.,CHO,$12600000,oubreke01
