player,Notes,Player-additional
Mitchell Robinson,,robinmi01
James Harden,,hardeja01
Jalen Brunson,,brunsja01
Deandre Ayton,,aytonde01
Montrezl Harrell,,harremo01
Miles Bridges,,bridgmi02
Ivica Zubac,,zubaciv01
Kevon Looney,,looneke01
Chris Boucher,,bouchch01
Zach LaVine,,lavinza01
Hassan Whiteside,,whiteha01
Isaiah Hartenstein,,harteis01
Bobby Portis,,portibo01
Gary Payton II,,paytoga02
Andre Drummond,,drumman01
Tyus Jones,,jonesty01
P.J. Tucker,,tuckepj01
JaVale McGee,,mcgeeja01
Otto Porter,,porteot01
Bruce Brown,,brownbr01
Mo Bamba,,bambamo01
Pat Connaughton,,connapa01
Caleb Martin,,martica02
Jeff Green,,greenje02
Cody Martin,,martico01
Amir Coffey,,coffeam01
Nicolas Batum,,batumni01
Carmelo Anthony,,anthoca01
Danilo Gallinari,,gallida01
Malik Monk,,monkma01
Jusuf Nurkić,,nurkiju01
Delon Wright,,wrighde01
Kyle Anderson,,anderky01
Nic Claxton,,claxtni01
Dewayne Dedmon,,dedmode01
Dwight Howard,,howardw01
Trey Lyles,,lylestr01
Drew Eubanks,,eubandr01
Kyrie Irving,,irvinky01
Damian Jones,,jonesda03
Robert Covington,,covinro01
Naz Reid,,reidna01
LaMarcus Aldridge,,aldrila01
Nemanja Bjelica,,bjeline01
Jae'Sean Tate,,tateja01
Isaiah Roby,,robyis01
Dennis Schröder,,schrode01
Patty Mills,,millspa02
Jaylen Nowell,,nowelja01
Jalen Smith,,smithja04
Taj Gibson,,gibsota01
JaMychal Green,,greenja01
Damion Lee,,leeda03
Cory Joseph,,josepco01
Dean Wade,,wadede01
DeAndre' Bembry,,bembrde01
Oshae Brissett,,brissos01
Gary Harris,,harriga01
Joe Ingles,,inglejo01
Derrick Jones Jr.,,jonesde02
Taurean Prince,,princta02
Thaddeus Young,,youngth01
Hamidou Diallo,,diallha01
Blake Griffin,,griffbl01
Mike Muscala,,muscami01
Marvin Bagley III,,baglema01
Facundo Campazzo,,campafa01
Serge Ibaka,,ibakase01
Eric Paschall,,pascher01
Juan Toscano-Anderson,,toscaju01
DeAndre Jordan,,jordade01
Anfernee Simons,,simonan01
Bismack Biyombo,,biyombi01
Stanley Johnson,,johnsst04
Jalen McDaniels,,mcdanja01
Shake Milton,,miltosh01
Russell Westbrook,,westbru01
DeMarcus Cousins,,couside01
